calories,total_fat,sodium,vitamin_d,calcium,iron,potassium,protein,carbohydrate,fiber,sugars,water
224,13,709,0,35,3.27,54,23.64,3.64,3.6,0,58.84
365,4.7,35,0,7,2.71,287,9.42,74.26,0,0,10.37
197,13,103,51,12,1.37,198,18.58,0,0,0,66.16
340,2,2,0,34,5.37,435,10.69,75.36,12.7,0.41,10.42
387,24,0,0,41,0.79,539,6.15,40.75,0,0,27.9
161,11,218,0,31,0.23,118,0.98,14.12,1.7,10.83,72.84
327,27,800,20,497,0.13,128,20.05,0.49,0,0.49,48.42
224,0.9,7,0,42,2.79,44,8.36,85.64,79,0,4.71
243,4.6,269,0,69,3.61,215,8.9,43.5,4.9,4.67,41
134,4,56,0,7,4.02,320,22.77,0,0,0,72.87
378,2.7,31,0,12,1.44,41,4.2,84,1.6,45.42,8
98,1.9,55,0,12,0.4,354,18.99,0,0,0,78.93
43,1.1,61,0,208,6.59,738,3.46,7.02,2.1,0,85.95
285,6,344,0,1488,87.47,1924,19.93,52.04,29.8,0,11.3
44,0.7,30,0,199,11.87,458,3.29,8.41,6.8,0,85.55
153,6.1,427,0,29,1.22,131,6.28,18.12,3.1,0.99,68.1
316,21,5,0,57,18.54,1485,13.35,49.69,21,0.9,6.13
357,1.3,2,0,13,0.91,224,9.82,76.68,8,0.93,11.4
313,8.4,23,0,834,43,529,7.61,74.97,26.3,0,5.44
311,6.7,18,0,383,13.97,1119,10.76,68.47,28,0,8.28
80,0.8,13,0,16,0.6,415,1.82,17.77,2,1.7,78.89
902,100,0,0,0,0,0,0,0,0,0,0
187,9.3,402,0,17,1,178,16.04,9.41,0,0,63.16
368,30,628,22,717,0.41,134,23.41,1.12,0,1.12,41.77
387,31,700,0,643,0.21,95,23.37,4.78,0,0,37.65
255,1.2,590,0,12,3.08,115,10.7,53.3,3.6,1.63,32.9
902,100,0,28,0,0,0,0,0,0,0,0
81,0.4,5,0,25,1.47,244,5.42,14.45,5.7,5.67,78.86
40,0.9,1,0,10,0.88,92,3.21,11.44,2.6,0,84
157,11,941,37,16,1.5,31,13.83,0,0,0,73.84
216,16,1075,26,8,0.59,150,8.68,10.64,0,0,62.6
235,17,964,44,109,0.54,297,11.8,9.2,0,0,58.2
139,6.2,1123,10,11,4.2,345,16.3,3.34,0.1,3.34,71.73
